IncidentId,CreateDate,IcmType,Severity,Status,ChildCount,OwningTeamName,OwningContactAlias,Title,AcknowledgeTeamId,AcknowledgeTeamName,TenantName,AcknowledgeDateInDate,AcknowledgeDate,AcknowledgeContactAlias,IcmLink,AckType
707394540,2025-11-06 03:47:43.860000+00:00,Runner,2,RESOLVED,0,CLOUDNET\ManagedNetworkController,,[Control Path: NSMPlus-AzSM] Runner Name: AzNetToolsRunners.AzsmApiMgdRsvdVip Region: europewest Instance: azfSpdSlbv1AzsmApiMgdRsvdVipeuropewestProd Phase: DeleteRG,10549,NRP,Cloudnet,2025-11-06,2025-11-06 17:40:40.033000+00:00,sravanan,https://portal.microsofticm.com/imp/v5/incidents/details/707394540/summary,Incident Transferred
707710603,2025-11-06 19:14:38.090000+00:00,Runner,2,MITIGATED,0,CLOUDNET\SDNE2ERunners,oogwoude,[Control Path: PrivateLink] Runner Name: AzNetToolsRunners.PERunner Region: uaec Instance: azfPERunneruaecPairuaenProd Phase: InitialDeployment,10661,RNM,Cloudnet,2025-11-06,2025-11-06 19:26:42.597000+00:00,abhishekv,https://portal.microsofticm.com/imp/v5/incidents/details/707710603/summary,Incident Transferred
707731177,2025-11-06 20:12:37.167000+00:00,Runner,2,RESOLVED,0,CLOUDNET\SDNE2ERunners,oogwoude,[Control Path: RNC] Runner Name: AzNetToolsRunners.UdrNsgServiceTag Region: uscentraleuap Instance: azfHybridUdrNsgServiceTaguscentraleuapProd Phase: ApplyRouteTablesServiceTagRules - DPTest,39447,SDN E2E Runners,Cloudnet,2025-11-06,2025-11-06 20:24:11.713000+00:00,cesarlazo,https://portal.microsofticm.com/imp/v5/incidents/details/707731177/summary,Incident Transferred
704576832,2025-10-30 09:55:06.520000+00:00,CRI,2,MITIGATED,0,AZNETSOVEREIGN\AzNetSov-SDN,tarmalhotra,[CRP.IR][GovSG] BVT failing AvailabilitySetWithInternalVMOrchestratorScenarioTests.VMs_AvSet_InternalVmss_Create_Update_Delete_ManagedDisk_TestMethodWrapper,10475,Network Manager,Cloudnet,2025-11-06,2025-11-06 20:39:29.030000+00:00,yuaz,https://portal.microsofticm.com/imp/v5/incidents/details/704576832/summary,Incident Transferred
707776131,2025-11-06 21:59:25.777000+00:00,Runner,2,MITIGATED,7,CLOUDNET\NMAgent,abhisheklal,[Control Path: RNC] Runner Name: AzNetToolsRunners.RnmAsgUpdateAfterDeletingVMRunner Region: useast2euap Instance: azfRNCRnmAsgUpdateAfterDeletingVMRunneruseast2euapProd Phase: VM3_PING_VM1_Phase_2,82812,RNC,Cloudnet,2025-11-06,2025-11-06 22:04:11.177000+00:00,abhishekv,https://portal.microsofticm.com/imp/v5/incidents/details/707776131/summary,Incident Transferred
705303101,2025-10-31 22:10:23.093000+00:00,LiveSite,2,MITIGATED,0,CLOUDNET\SdnPubSub,lual,Deployments on AMD Gen10 SKU are failing,82812,RNC,Cloudnet,2025-11-06,2025-11-06 22:24:14.527000+00:00,abhishekv,https://portal.microsofticm.com/imp/v5/incidents/details/705303101/summary,Incident Transferred
707710603,2025-11-06 19:14:38.090000+00:00,Runner,2,MITIGATED,0,CLOUDNET\SDNE2ERunners,oogwoude,[Control Path: PrivateLink] Runner Name: AzNetToolsRunners.PERunner Region: uaec Instance: azfPERunneruaecPairuaenProd Phase: InitialDeployment,39447,SDN E2E Runners,Cloudnet,2025-11-06,2025-11-06 23:25:12.353000+00:00,oogwoude,https://portal.microsofticm.com/imp/v5/incidents/details/707710603/summary,Incident Transferred
672790933,2025-08-19 18:20:06.093000+00:00,LiveSite,4,RESOLVED,0,AZURERT\ScaleSetService,alroth,19 Resource Groups cannot be deleted due to ghost VMSS dependencies,10549,NRP,Cloudnet,2025-11-07,2025-11-07 00:56:19.560000+00:00,mxue,https://portal.microsofticm.com/imp/v5/incidents/details/672790933/summary,Incident Transferred
707224936,2025-11-05 19:37:36.480000+00:00,LiveSite,2,RESOLVED,0,CLOUDNET\SDNE2ERunners,oogwoude,VNC SDNApplianceAllocator out of capacity failure in indiasouth-znc-prod-a for client NSM,39447,SDN E2E Runners,Cloudnet,2025-11-07,2025-11-07 03:01:52.877000+00:00,oogwoude,https://portal.microsofticm.com/imp/v5/incidents/details/707224936/summary,Incident Transferred
707909225,2025-11-07 04:10:57.010000+00:00,Runner,2,RESOLVED,0,CLOUDNET\SDNE2ERunners,oogwoude,[Aggregate][RNC-SharedVNetNicCaUpdateRunner-CP][useast2euap / AzNetToolsRunners.SharedVNetNicCaUpdateRunner / azfRNCSharedVNetNicCaUpdateRunneruseast2euapProd] 54.55% children Unhealthy,82812,RNC,Cloudnet,2025-11-07,2025-11-07 04:14:58.093000+00:00,abhishekv,https://portal.microsofticm.com/imp/v5/incidents/details/707909225/summary,Incident Transferred
